name,comment,star
NguyỄN TrỌNg PhÚC,Lúc trước sài thì vẫn còn sạc nhanh. Khoảng 1 tháng nay tự nhiên mất sạc nhanh bị chuyển qua sạc bằng cáp là s ?,2
GiÁP,"Mua hôm 4/6, để từ 0h tới 6h ngày 9.6, tắt hết các ứng dụng ngầm pin tuột từ 21% xuống còn 15% , có tuột quá nhanh không nhỉ ?",2
Minh TuẤN,"Đã xài dc 1 năm, cập nhật đầy đủ nên vẫn còn mượt. Lúc mới mua xài mạng 4G, xài liên tục đa nhiệm youtube + nhắn tin zalo với độ sáng màn hình tự động khoảng 60-80% thì mức hao pin khoảng 10-12%/1 tiếng; chơi liên quân cấu hình cao-cao-cao thì tốn khoảng 5-6% pin 1 trận. Sau 1 năm với mức độ sạc 1-2 lần/ngày thì mức hao pin khi xem youtube chất lượng 720 bằng mạng 4G là khoảng 13-15%/1 tiếng với độ sáng màn hình 60-80%; game liên quân cấu hình cao-cao-cao vẫn khoảng 5-7% pin cho 1 trận, tuy nhiên game đã thỉnh thoảng giật lag không còn mượt như 1 năm trước, nhưng điều này là tất yếu. Ai muốn tiết kiệm pin hơn thì xài wifi sẽ đỡ hao pin hơn 4G.",4
Trtrnh,"Sử dụng được 11 tháng. Cảm giác máy khá ổn. Lâu lâu có bị lỗi nhỏ nhưng không đáng kể. Pin hơn 7h xem phim liên tục, chưa thấy dấu hiệu chai pin.",4
NguyỄN LƯơNg Kim HẢO,"Xài ổn, pin trâu sạc nhanh, camera chụp đẹp, chơi game mượt, có điều bắt sóng wifi không được tốt lắm.",5
Minh,Tôi sử dụng gần 1 năm thì sạc nhanh không hoạt đồng Có ai bk cách sữa lỗi không ạ,3
NhẬT Huy,"Từ lúc máy nâng cấp lên Android 10 là có hiện tượng máy giật lag kinh khủng, dù mình không xài ứng dụng gì nhiều, đang bấm phím thì màn hình tắt đột ngột, mở lại rất là lâu, không biết do lỗi màn hình hay lỗi gì nữa.",1
PhƯơNg ThẢO,"Mình mua em này từ tháng 7/2019. Thực sự rất hài lòng. Cảm ứng mượt, chụp hình đẹp. Mình vừa update lên Android 10, khá mượt, có thêm 1 số chức năng mới. Giá khá hời với 1 chiếc đth như thế này. Giá thành khá phù hợp với các bạn hs sv muốn có 1 đth tốt.",5
CÚC HuỲNh,Sản phẩm mua về mới sài thì ổn sau khi cập nhật thì có hiện tượng treo logo làm sao để khắc phục ạ ??,3
NhẬT Huy,"Mình mua từ tháng 9/2019. Xài cũng tạm ổn thôi. Màn hình mới nên cảm thấy cảm ứng ko nhạy lắm, hay giật lag, cảm ứng vân tay cũng lâu lâu ko nhạy. Mới dc update lên android 10, có thêm tính năng quay màn hình như iPhone thấy cũng ok. Camera chuyên trị bóng tối.",3
Mr ChÂU,"A50 quá tuyệt vời, các bạn nào chê A50 ko nhạy là do các chưa tăng độ nhạy cảm cho A50,và tăng độ nhạy cho bàn phím. Tăng xong cảm ứng rất nhạy, nhiều tính năng hữu ích.",5
